Correlation Coefficients,Feature Pairs
0.9983200934888886,"['tBodyAcc-Mad-1', 'tBodyAcc-STD-1']"
0.9960651000569394,"['tBodyAcc-Mad-2', 'tBodyAcc-STD-2']"
0.9959966023283148,"['tBodyAcc-Mad-3', 'tBodyAcc-STD-3']"
0.9689172445911746,"['tBodyAcc-Max-1', 'tBodyAcc-STD-1']"
0.9601804940886384,"['tBodyAcc-Max-1', 'tBodyAcc-Mad-1']"
0.9179797162453418,"['tBodyAcc-Max-2', 'tBodyAcc-STD-2']"
0.9118765379444723,"['tBodyAcc-Max-2', 'tBodyAcc-Mad-2']"
0.9106858719697856,"['tBodyAcc-Max-3', 'tBodyAcc-STD-3']"
0.9384185225327862,"['tBodyAcc-Min-1', 'tBodyAcc-STD-1']"
0.9318404443434638,"['tBodyAcc-Min-1', 'tBodyAcc-Mad-1']"
0.9147862963863809,"['tBodyAcc-Min-2', 'tBodyAcc-STD-2']"
0.9174000201252684,"['tBodyAcc-SMA-1', 'tBodyAcc-STD-1']"
0.9538175757250867,"['tBodyAcc-SMA-1', 'tBodyAcc-STD-2']"
0.9162926607021732,"['tBodyAcc-SMA-1', 'tBodyAcc-STD-3']"
0.9169699176515506,"['tBodyAcc-SMA-1', 'tBodyAcc-Mad-1']"
0.9492421668720951,"['tBodyAcc-SMA-1', 'tBodyAcc-Mad-2']"
0.9126047661344201,"['tBodyAcc-SMA-1', 'tBodyAcc-Mad-3']"
0.9002212693337379,"['tBodyAcc-SMA-1', 'tBodyAcc-Min-1']"
0.9191450954449925,"['tBodyAcc-Energy-1', 'tBodyAcc-STD-1']"
0.9262572515420263,"['tBodyAcc-Energy-1', 'tBodyAcc-Mad-1']"
0.9784151321879662,"['tBodyAcc-IQR-1', 'tBodyAcc-STD-1']"
0.9874113609482215,"['tBodyAcc-IQR-1', 'tBodyAcc-Mad-1']"
0.9245830135540761,"['tBodyAcc-IQR-1', 'tBodyAcc-Max-1']"
0.9090588052600754,"['tBodyAcc-IQR-1', 'tBodyAcc-Min-1']"
0.9072395255745861,"['tBodyAcc-IQR-1', 'tBodyAcc-SMA-1']"
0.9267127251599558,"['tBodyAcc-IQR-1', 'tBodyAcc-Energy-1']"
