Index,True Label,Predicted Label
0,5,5
1,5,5
2,5,5
3,5,5
4,5,5
5,5,5
6,5,5
7,5,5
8,5,5
9,5,5
10,5,5
11,5,5
12,5,5
13,5,5
14,5,5
15,5,5
16,7,7
18,4,4
19,4,4
21,4,4
22,4,4
23,4,4
24,4,4
25,4,4
26,4,4
27,4,4
29,4,4
30,8,8
31,5,5
32,5,5
33,5,5
34,5,5
35,5,5
36,5,5
37,5,5
38,5,5
39,5,5
40,5,5
41,5,5
42,5,5
43,5,5
44,5,5
45,5,5
46,5,5
47,11,11
48,11,11
51,11,11
52,6,6
53,6,6
54,6,6
55,6,6
56,6,6
57,6,6
58,6,6
59,6,6
60,6,6
61,6,6
62,6,6
64,10,10
66,4,4
67,4,4
68,4,4
69,4,4
70,4,4
71,4,4
73,4,4
74,4,4
75,4,4
76,4,4
77,9,9
79,6,6
80,6,6
81,6,6
82,6,6
83,6,6
84,6,6
85,6,6
86,6,6
87,6,6
88,6,6
89,6,6
90,6,6
91,6,6
92,12,12
93,1,1
94,1,1
95,1,1
96,1,1
97,1,1
98,1,1
99,1,1
100,1,1
101,1,1
102,1,1
103,1,1
104,1,1
105,1,1
106,1,1
107,1,1
108,1,1
109,1,1
110,1,1
111,1,1
112,1,1
113,1,1
114,1,1
115,1,1
116,1,1
117,1,1
118,1,1
119,1,1
120,1,1
121,1,1
122,1,1
123,3,3
124,3,3
125,3,3
126,3,3
127,3,3
128,3,3
129,3,3
130,3,3
131,3,3
132,2,2
133,2,2
134,2,2
135,2,2
136,2,2
137,2,2
138,2,2
139,2,2
140,2,2
141,3,3
142,3,3
143,3,3
144,3,3
145,3,3
146,3,3
147,3,3
148,3,3
149,2,2
150,2,2
151,2,2
152,2,2
153,2,2
154,2,2
155,2,2
156,2,2
157,3,3
158,3,3
159,3,3
160,3,3
161,3,3
162,3,3
163,3,3
164,2,2
165,2,2
166,2,2
167,2,2
168,2,2
169,2,2
172,5,5
173,5,5
176,5,5
177,5,5
178,5,5
179,5,5
180,5,5
181,5,5
182,5,5
183,7,7
185,4,4
186,4,4
187,4,4
188,4,4
189,4,4
190,4,4
191,4,4
192,4,4
193,4,4
194,4,4
195,8,8
196,5,5
197,5,5
198,5,5
199,5,5
200,5,5
201,5,5
202,5,5
203,5,5
204,5,5
205,5,5
206,5,5
207,5,5
208,11,11
209,11,11
210,6,6
211,6,6
212,6,6
213,6,6
214,6,6
215,6,6
216,6,6
217,6,6
218,6,6
219,6,6
220,6,6
221,10,10
222,4,4
223,4,4
224,4,4
225,4,4
226,4,4
227,4,4
228,4,4
229,4,4
230,4,4
231,4,4
232,4,4
233,9,9
234,6,6
235,6,6
236,6,6
237,6,6
238,6,6
239,6,6
240,6,6
241,6,6
242,6,6
243,6,6
244,6,6
245,6,6
246,6,6
247,6,6
248,12,12
249,1,1
250,1,1
251,1,1
252,1,1
253,1,1
254,1,1
255,1,1
256,1,1
257,1,1
258,1,1
259,1,1
260,1,1
261,1,1
262,1,1
263,1,1
264,1,1
265,1,1
266,1,1
267,1,1
268,1,1
269,1,1
270,1,1
271,1,1
272,1,1
273,1,1
274,1,1
275,1,1
276,1,1
277,1,1
278,3,3
279,3,3
280,3,3
281,3,3
282,3,3
283,3,3
284,3,3
285,3,3
286,2,2
287,2,2
288,2,2
289,2,2
290,2,2
291,2,2
292,2,2
293,2,2
294,3,3
295,3,3
296,3,3
297,3,3
298,3,3
299,3,3
300,3,3
301,2,2
302,2,2
303,2,2
304,2,2
305,2,2
306,2,2
309,3,3
310,3,3
311,3,3
312,3,3
313,3,3
314,3,3
315,3,3
316,3,3
317,2,2
319,2,2
320,2,2
321,2,2
322,2,2
323,2,2
324,5,5
325,5,5
326,5,5
327,5,5
328,5,5
329,5,5
330,5,5
331,5,5
332,5,5
333,5,5
336,5,5
337,5,5
339,5,5
340,7,7
341,7,7
342,4,4
343,4,4
344,4,4
345,4,4
346,4,4
347,4,4
348,4,4
349,4,4
350,4,4
351,4,4
352,4,4
353,4,4
354,8,8
355,5,5
356,5,5
357,5,5
358,5,5
360,5,5
361,5,5
362,5,5
363,5,5
364,5,5
366,5,5
368,11,11
369,11,11
372,6,6
373,6,6
374,6,6
375,6,6
376,6,6
377,6,6
378,6,6
379,6,6
380,6,6
381,6,6
382,6,6
383,6,6
384,6,6
385,6,6
386,6,6
387,10,10
388,10,10
390,4,4
392,4,4
393,4,4
394,4,4
395,4,4
396,4,4
397,4,4
398,4,4
399,4,4
400,4,4
401,9,9
402,9,9
403,6,6
404,6,6
405,6,6
406,6,6
407,6,6
408,6,6
409,6,6
410,6,6
411,6,6
412,6,6
413,6,6
414,6,6
415,6,6
416,6,6
417,12,12
418,1,1
419,1,1
420,1,1
421,1,1
422,1,1
423,1,1
424,1,1
425,1,1
426,1,1
427,1,1
428,1,1
429,1,1
430,1,1
431,1,1
432,1,1
433,1,1
434,1,1
435,1,1
436,1,1
437,1,1
438,1,1
439,1,1
440,1,1
441,1,1
442,1,1
443,1,1
444,1,1
445,1,1
446,1,1
447,1,1
448,1,1
449,3,3
451,3,3
452,3,3
453,3,3
454,2,2
455,2,2
457,2,2
461,2,2
462,2,2
463,2,2
465,3,3
468,3,3
469,3,3
470,3,3
471,3,3
472,3,3
473,3,3
474,3,3
475,2,2
476,2,2
477,2,2
478,2,2
479,2,2
480,2,2
481,2,2
482,2,2
483,2,2
484,3,3
485,3,3
486,3,3
487,3,3
488,3,3
489,3,3
490,3,3
491,3,3
492,2,2
493,2,2
494,2,2
495,2,2
496,2,2
497,2,2
498,2,2
499,2,2
501,5,5
502,5,5
503,5,5
504,5,5
505,5,5
506,5,5
507,5,5
508,5,5
509,5,5
510,5,5
511,5,5
512,5,5
515,7,7
516,4,4
517,4,4
518,4,4
519,4,4
520,4,4
521,4,4
522,4,4
523,4,4
524,4,4
525,4,4
526,4,4
527,4,4
528,4,4
529,4,4
530,8,8
531,5,5
532,5,5
533,5,5
534,5,5
535,5,5
536,5,5
537,5,5
538,5,5
541,5,5
542,5,5
543,11,11
546,6,6
547,6,6
548,6,6
549,6,6
550,6,6
551,6,6
552,6,6
553,6,6
554,6,6
555,6,6
556,6,6
557,10,10
559,4,4
560,4,4
566,4,4
567,4,4
570,9,9
571,9,9
572,6,6
573,6,6
574,6,6
575,6,6
576,6,6
577,6,6
578,6,6
579,6,6
580,6,6
581,6,6
582,6,6
583,6,6
584,12,12
585,1,1
586,1,1
587,1,1
588,1,1
589,1,1
590,1,1
591,1,1
592,1,1
593,1,1
594,1,1
595,1,1
596,1,1
597,1,1
598,1,1
599,1,1
600,1,1
601,1,1
602,1,1
603,1,1
604,1,1
605,1,1
606,1,1
607,1,1
608,1,1
609,1,1
610,1,1
611,1,1
612,1,1
613,1,1
614,3,3
615,3,3
616,3,3
617,3,3
618,3,3
619,3,3
620,3,3
621,3,3
622,2,2
623,2,2
624,2,2
625,2,2
627,2,2
630,3,3
631,3,3
632,3,3
633,3,3
634,3,3
635,3,3
636,3,3
637,2,2
638,2,2
639,2,2
640,2,2
641,2,2
642,2,2
644,2,2
645,3,3
646,3,3
647,3,3
648,3,3
649,3,3
650,3,3
651,3,3
652,2,2
653,2,2
654,2,2
655,2,2
658,2,2
659,2,2
660,5,5
666,5,5
667,5,5
670,4,4
671,4,4
672,4,4
673,4,4
674,4,4
675,4,4
676,4,4
677,4,4
678,4,4
679,4,4
680,4,4
681,5,5
682,5,5
685,5,5
686,5,5
688,5,5
689,5,5
690,5,5
691,5,5
692,5,5
693,5,5
694,5,5
695,11,11
696,6,6
697,6,6
698,6,6
699,6,6
700,6,6
701,6,6
702,6,6
703,6,6
704,6,6
705,6,6
706,6,6
707,6,6
708,10,10
709,4,4
710,4,4
711,4,4
712,4,4
713,4,4
714,4,4
715,4,4
716,4,4
717,4,4
718,4,4
719,4,4
720,4,4
721,4,4
722,4,4
723,4,4
724,4,4
725,9,9
726,9,9
727,6,6
728,6,6
729,6,6
730,6,6
731,6,6
732,6,6
