f1,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/n_estimators,config/max_depth,config/max_features,config/min_samples_split,config/min_samples_leaf,config/bootstrap,logdir
0.8426555256361594,1732980785,,False,1,427e3_00000,2024-11-30_23-33-05,51.337913036346436,51.337913036346436,56608,Collins-MacBook-Pro.local,127.0.0.1,51.337913036346436,1,101,13,log2,2,1,True,427e3_00000
0.8713631969977828,1732980933,,False,1,427e3_00001,2024-11-30_23-35-33,199.44221806526184,199.44221806526184,56609,Collins-MacBook-Pro.local,127.0.0.1,199.44221806526184,1,136,13,sqrt,2,2,False,427e3_00001
0.75315060872862,1732980773,,False,1,427e3_00002,2024-11-30_23-32-53,39.522785902023315,39.522785902023315,56610,Collins-MacBook-Pro.local,127.0.0.1,39.522785902023315,1,71,7,log2,3,2,False,427e3_00002
0.40782552730102595,1732980746,,False,1,427e3_00003,2024-11-30_23-32-26,12.091465950012207,12.091465950012207,56611,Collins-MacBook-Pro.local,127.0.0.1,12.091465950012207,1,70,3,log2,3,2,True,427e3_00003
0.8703666073080333,1732980885,,False,1,427e3_00004,2024-11-30_23-34-45,150.86425590515137,150.86425590515137,56612,Collins-MacBook-Pro.local,127.0.0.1,150.86425590515137,1,98,13,sqrt,4,2,False,427e3_00004
0.5851353877662049,1732980786,,True,1,427e3_00005,2024-11-30_23-33-06,52.24194383621216,52.24194383621216,56613,Collins-MacBook-Pro.local,127.0.0.1,52.24194383621216,1,129,5,log2,4,2,False,427e3_00005
0.8546417438447989,1732980868,,False,1,427e3_00006,2024-11-30_23-34-28,133.6697700023651,133.6697700023651,56614,Collins-MacBook-Pro.local,127.0.0.1,133.6697700023651,1,100,9,sqrt,2,1,False,427e3_00006
0.46198780656463423,1732980759,,False,1,427e3_00007,2024-11-30_23-32-39,24.858031034469604,24.858031034469604,56615,Collins-MacBook-Pro.local,127.0.0.1,24.858031034469604,1,109,4,log2,2,2,True,427e3_00007
0.8614698266164507,1732980886,,False,1,427e3_00008,2024-11-30_23-34-46,136.34882712364197,136.34882712364197,56666,Collins-MacBook-Pro.local,127.0.0.1,136.34882712364197,1,141,14,sqrt,2,2,True,427e3_00008
0.6785515365686149,1732980816,,True,1,427e3_00009,2024-11-30_23-33-36,54.23533582687378,54.23533582687378,56693,Collins-MacBook-Pro.local,127.0.0.1,54.23533582687378,1,130,6,log2,3,2,False,427e3_00009
