Index,True Label,Predicted Label
28,3,4
29,3,4
50,10,8
51,10,8
65,9,10
78,8,10
92,11,9
185,3,4
228,3,4
335,4,3
341,6,10
370,10,6
371,10,8
500,4,3
515,6,8
532,4,3
539,4,3
543,10,0
557,9,11
561,3,4
562,3,4
564,3,4
565,3,4
566,3,4
570,8,10
571,8,10
670,3,4
693,4,3
695,10,8
708,9,11
726,8,10
773,1,10
776,1,6
777,1,0
778,1,0
781,1,0
782,1,0
790,1,0
791,1,0
792,1,0
793,1,0
794,1,0
795,1,0
806,1,0
807,1,0
808,1,0
809,1,0
811,1,0
812,1,0
824,6,8
825,3,4
826,3,4
830,3,1
831,3,6
832,3,4
833,3,4
834,3,4
835,3,5
836,3,4
839,4,3
851,10,11
867,9,11
868,3,4
873,3,4
875,3,4
880,3,4
881,3,4
882,8,4
900,11,1
941,1,10
1025,9,11
1038,8,11
1088,1,2
1124,4,3
1134,3,5
1135,3,1
1136,3,1
1137,3,1
1138,3,4
1139,3,4
1140,3,4
1141,3,4
1142,3,4
1143,3,4
1144,3,4
1145,3,4
1146,3,4
1147,3,4
1148,3,4
1149,3,4
1150,3,4
1157,4,3
1174,3,4
1179,3,4
1180,3,4
1181,3,4
1182,3,4
1187,3,4
1188,8,4
1194,5,4
1197,5,4
1200,5,4
1201,5,4
1206,5,4
1207,11,4
1256,1,0
1257,1,0
1273,1,0
1318,10,8
1334,3,4
1337,3,4
1338,3,4
1345,3,4
1346,3,4
1348,3,4
1349,3,4
1350,3,4
1366,11,9
1367,0,2
1432,2,0
1470,3,10
1476,3,4
1513,9,11
1522,3,4
1524,3,4
1525,3,4
1526,3,4
1588,2,6
1589,2,4
1648,4,3
1661,4,6
1677,9,11
1709,11,9
1710,11,4
1711,11,10
1743,2,0
1744,2,0
1858,9,11
1919,0,3
1920,0,10
1988,6,9
1989,6,3
2048,9,1
2157,2,1
2253,3,4
2264,8,3
2283,11,9
2334,2,0
2335,2,0
2337,2,1
2354,2,1
2390,6,4
2433,10,1
2434,10,9
2458,3,4
2470,8,11
2486,11,9
2585,3,7
2588,3,4
2589,3,4
2598,3,4
2619,10,8
2620,10,8
2660,8,6
2661,8,3
2680,0,4
2689,0,1
2690,0,4
2695,0,9
2698,0,1
2701,0,8
2766,4,3
2807,4,3
2809,10,3
2810,10,3
2811,10,8
2812,10,8
2813,10,8
2872,11,0
2874,11,10
2933,1,6
3053,8,0
